PN,Age,Ethnicity,Race,Gender,Vis_anal_exp,years_exp,prop_intervene_100%,prop_intervene_60%,prop_intervene_40%,prop_intervene_20%,prop_intervene_10%,trials_to_intervene_100%,trials_to_intervene_60%,trials_to_intervene_40%,trials_to_intervene_20%,trials_to_intervene_10%,100%_trial_01,100%_trial_02,100%_trial_03,100%_trial_04,100%_trial_05,100%_trial_06,100%_trial_07,100%_trial_08,100%_trial_09,100%_trial_10,60%_trial_01,60%_trial_02,60%_trial_03,60%_trial_04,60%_trial_05,60%_trial_06,60%_trial_07,60%_trial_08,60%_trial_09,60%_trial_10,40%_trial_01,40%_trial_02,40%_trial_03,40%_trial_04,40%_trial_05,40%_trial_06,40%_trial_07,40%_trial_08,40%_trial_09,40%_trial_10,20%_trial_01,20%_trial_02,20%_trial_03,20%_trial_04,20%_trial_05,20%_trial_06,20%_trial_07,20%_trial_08,20%_trial_09,20%_trial_10,10%_trial_01,10%_trial_02,10%_trial_03,10%_trial_04,10%_trial_05,10%_trial_06,10%_trial_07,10%_trial_08,10%_trial_09,10%_trial_10
1,26,Not Hispanic or Latino,White,Female,Yes,1,0.5,0.1,0.5,0.5,0.5,3,1,3,2,3,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0
2,24,Not Hispanic or Latino,White,Female,Yes,1,0,0,0,1,0,11,11,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,26,Not Hispanic or Latino,White,Female,Yes,0.5,0,0.1,0.1,1,1,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,25,Not Hispanic or Latino,White,Female,Yes,0.5,0,1,1,1,1,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,23,Not Hispanic or Latino,White,Female,Yes,3,0,1,1,1,1,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,23,Not Hispanic or Latino,White,Female,Yes,1,0,0,0,0,0,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,26,Hispanic or Latino,White,Male,Yes,1,0.6,0.1,0.5,1,0.9,5,0,6,1,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
8,23,Hispanic or Latino,White,Female,Yes,0.5,0.4,0.1,0.4,0.4,0.3,8,3,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
9,23,Not Hispanic or Latino,White,Female,Yes,1,0,0,0,0,0.1,11,11,11,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,23,Not Hispanic or Latino,White,Female,Yes,1,0.2,0.3,0.6,0.7,0.9,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
11,23,Not Hispanic or Latino,White,Female,Yes,2,0,0,0,0,0,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30,Not Hispanic or Latino,White,Female,Yes,4,0,0.1,0.3,0.5,0.6,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0
13,39,Not Hispanic or Latino,White,Female,Yes,7,0,0.7,0.7,0.7,0.8,11,3,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
14,23,Not Hispanic or Latino,White,Female,Yes,2,0,0,0.6,0.3,0.9,11,11,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1
15,25,Not Hispanic or Latino,White,Female,Yes,5,0,0,0,0,0,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,24,Hispanic or Latino,White,Female,Yes,2,0,0,0,0,1,11,11,11,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
17,27,Not Hispanic or Latino,White,Female,Yes,1,0.1,0.5,0.4,0.6,1,3,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
18,31,Hispanic or Latino,White,Female,No,0,0,0,0,0,0.1,11,11,11,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,23,Not Hispanic or Latino,White,Male,Yes,0.5,0,1,1,1,1,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,25,Not Hispanic or Latino,White,Female,Yes,1,0.1,0.2,0.3,0.2,0.3,4,4,3,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
21,24,Not Hispanic or Latino,White,Female,Yes,1,0,0,0.2,1,1,11,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,26,Hispanic or Latino,White,Female,Yes,2.5,0.7,0.7,0.8,0.8,0.9,3,3,3,3,2,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
23,23,Not Hispanic or Latino,White,Female,Yes,0.5,0,0.2,1,0.3,1,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
24,25,Hispanic or Latino,White,Female,Yes,3,0.1,0,0.2,0.1,0.2,8,11,4,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
25,26,Not Hispanic or Latino,White,Female,Yes,3,0,0,0.8,0.8,0.8,11,11,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
26,29,Not Hispanic or Latino,White,Female,No,0,0,0.2,0,0,0,11,1,11,11,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,22,Not Hispanic or Latino,White,Female,Yes,1,0,1,1,0,1,11,1,1,11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
28,26,Not Hispanic or Latino,White,Male,Yes,0.5,0.1,0.5,0.1,0.5,0.8,8,2,1,4,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
29,29,Not Hispanic or Latino,White,Female,Yes,2.5,0,0,0.3,0.5,0.5,10,10,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
30,38,Hispanic or Latino,Black or African American,Female,Yes,1,0.1,0.1,0,0,0.1,8,7,11,11,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0